Class,Description,Start date,Start time,End date,End time,Duration
M 325K Discrete Mathematics,,2/16/17,18:30:20,2/16/17,18:58:48,0:28:28
Beginning Spanish II,,2/17/17,13:12:26,2/17/17,14:02:09,0:49:43
Beginning Spanish II,,2/17/17,15:01:38,2/17/17,15:52:23,0:50:46
M 358K Applied Statistics,,2/18/17,15:27:24,2/18/17,16:22:47,0:55:23
ECO 320L Macroeconomic Theory,,2/18/17,17:50:31,2/18/17,19:08:32,1:18:01
ECO 320L Macroeconomic Theory,,2/18/17,20:16:52,2/18/17,21:00:43,0:43:51
C S 313E Elements of Software Design,,2/19/17,14:02:16,2/19/17,14:55:21,0:53:05
C S 313E Elements of Software Design,,2/19/17,16:30:13,2/19/17,16:52:45,0:22:32
ECO 320L Macroeconomic Theory,,2/19/17,16:55:57,2/19/17,17:43:05,0:47:08
ECO 320L Macroeconomic Theory,,2/19/17,18:06:32,2/19/17,20:11:56,2:05:24
ECO 320L Macroeconomic Theory,,2/19/17,21:40:26,2/19/17,22:33:26,0:53:00
ECO 320L Macroeconomic Theory,,2/19/17,21:40:31,2/19/17,22:33:31,0:53:00
M 358K Applied Statistics,,2/20/17,11:40:12,2/20/17,12:34:43,0:54:31
M 358K Applied Statistics,,2/20/17,12:51:17,2/20/17,13:43:54,0:52:37
Beginning Spanish II,MSL,2/20/17,15:47:27,2/20/17,16:01:04,0:13:37
Beginning Spanish II,Practice/Quiz,2/20/17,16:09:46,2/20/17,16:50:17,0:40:31
M 325K Discrete Mathematics,Classwork,2/20/17,17:31:42,2/20/17,18:24:20,0:52:38
M 358K Applied Statistics,Homework 5,2/20/17,18:26:30,2/20/17,18:55:22,0:28:52
M 358K Applied Statistics,Homework 5,2/20/17,20:38:27,2/20/17,20:47:38,0:09:11
M 325K Discrete Mathematics,Classwork,2/20/17,22:00:50,2/20/17,22:52:29,0:51:39
M 325K Discrete Mathematics,,2/21/17,2:30:54,2/21/17,2:45:54,0:15:00
M 358K Applied Statistics,,2/21/17,16:20:43,2/21/17,17:57:59,1:37:16
M 325K Discrete Mathematics,,2/21/17,21:50:00,2/21/17,22:41:13,0:51:13
M 358K Applied Statistics,,2/21/17,23:00:32,2/21/17,23:51:54,0:51:22
M 325K Discrete Mathematics,,2/22/17,12:47:44,2/22/17,12:48:58,0:01:14
M 325K Discrete Mathematics,,2/22/17,12:57:18,2/22/17,13:32:02,0:34:44
ECO 320L Macroeconomic Theory,,2/22/17,13:37:42,2/22/17,13:57:39,0:19:57
ECO 320L Macroeconomic Theory,,2/22/17,15:29:13,2/22/17,15:54:45,0:25:32
M 325K Discrete Mathematics,,2/22/17,16:46:35,2/22/17,18:03:13,1:16:38
M 325K Discrete Mathematics,,2/22/17,18:11:39,2/22/17,18:40:39,0:29:00
M 325K Discrete Mathematics,,2/22/17,19:41:19,2/22/17,22:05:32,2:24:13
M 358K Applied Statistics,Project 1,2/23/17,16:31:56,2/23/17,16:49:50,0:17:54
Beginning Spanish II,,2/23/17,16:50:11,2/23/17,17:28:33,0:38:22
Beginning Spanish II,,2/23/17,22:24:39,2/23/17,22:59:15,0:34:36
C S 313E Elements of Software Design,,2/25/17,10:59:01,2/25/17,12:31:14,1:32:13
C S 313E Elements of Software Design,,2/25/17,12:47:55,2/25/17,12:53:32,0:05:37
M 325K Discrete Mathematics,,2/26/17,9:56:51,2/26/17,10:38:58,0:42:07
M 325K Discrete Mathematics,,2/26/17,17:39:51,2/26/17,18:07:19,0:27:28
M 358K Applied Statistics,Project 1,2/26/17,19:27:00,2/26/17,20:07:44,0:40:44
ECO 320L Macroeconomic Theory,,2/26/17,20:18:36,2/26/17,20:27:56,0:09:20
ECO 320L Macroeconomic Theory,,2/27/17,12:20:31,2/27/17,12:42:11,0:21:40
